x,y
1549.96,0.459105
1550.02,0.459609
1550.08,0.459609
1550.14,0.459609
1550.2,0.460619
1550.27,0.461628
1550.33,0.461628
1550.39,0.462637
1550.45,0.462637
1550.51,0.462637
1550.57,0.461628
1550.63,0.461123
1550.69,0.461123
1550.75,0.460619
1550.81,0.459609
1550.87,0.459105
1550.93,0.459105
1550.99,0.4586
1551.05,0.458096
1551.11,0.457086
1551.17,0.456582
1551.23,0.456077
1551.29,0.455572
1551.36,0.455068
1551.42,0.454563
1551.48,0.455068
1551.54,0.455068
1551.6,0.456077
1551.66,0.456077
1551.72,0.456582
1551.78,0.457086
1551.84,0.457086
1551.9,0.456582
1551.96,0.457086
1552.02,0.457086
1552.08,0.458096
1552.14,0.459105
1552.2,0.459609
1552.26,0.460114
1552.32,0.461628
1552.38,0.462637
1552.45,0.463142
1552.51,0.464151
1552.57,0.464151
1552.63,0.463142
1552.69,0.462637
1552.75,0.462637
1552.81,0.462133
1552.87,0.461628
1552.93,0.461628
1552.99,0.461123
1553.05,0.460619
1553.11,0.460114
1553.17,0.459609
1553.23,0.4586
1553.29,0.4586
1553.35,0.459105
1553.41,0.459105
1553.47,0.459105
1553.54,0.458096
1553.6,0.458096
1553.66,0.4586
1553.72,0.459105
1553.78,0.459105
1553.84,0.459105
1553.9,0.459105
1553.96,0.459105
1554.02,0.459105
1554.08,0.459105
1554.14,0.459105
1554.2,0.459105
1554.26,0.459105
1554.32,0.4586
1554.38,0.458096
1554.44,0.458096
1554.5,0.458096
1554.56,0.457591
1554.63,0.457591
1554.69,0.457591
1554.75,0.457591
1554.81,0.458096
1554.87,0.4586
1554.93,0.459105
1554.99,0.459609
1555.05,0.460114
1555.11,0.461123
1555.17,0.461123
1555.23,0.461628
1555.29,0.462133
1555.35,0.462637
1555.41,0.462637
1555.47,0.462637
1555.53,0.462637
1555.59,0.462637
1555.65,0.463142
1555.71,0.463142
1555.78,0.464151
1555.84,0.463142
1555.9,0.462637
1555.96,0.462133
1556.02,0.461123
1556.08,0.460619
1556.14,0.460114
1556.2,0.460114
1556.26,0.460114
1556.32,0.459609
1556.38,0.459609
1556.44,0.460114
1556.5,0.460114
1556.56,0.460114
1556.62,0.460114
1556.68,0.460114
1556.74,0.461123
1556.8,0.461628
1556.87,0.462133
1556.93,0.462637
1556.99,0.463646
1557.05,0.464151
1557.11,0.464151
1557.17,0.464151
1557.23,0.464151
1557.29,0.464151
1557.35,0.464656
1557.41,0.46516
1557.47,0.46516
1557.53,0.46516
1557.59,0.46617
1557.65,0.46617
1557.71,0.46617
1557.77,0.466674
1557.83,0.467179
1557.89,0.467684
1557.96,0.468188
1558.02,0.468693
1558.08,0.469702
1558.14,0.469702
1558.2,0.470207
1558.26,0.471216
1558.32,0.471216
1558.38,0.471216
1558.44,0.472225
1558.5,0.472225
1558.56,0.472225
1558.62,0.472225
1558.68,0.472225
1558.74,0.472225
1558.8,0.472225
1558.86,0.472225
1558.92,0.471721
1558.98,0.471216
1559.05,0.471216
1559.11,0.470711
1559.17,0.470207
1559.23,0.470207
1559.29,0.470207
1559.35,0.470207
1559.41,0.469702
1559.47,0.469702
1559.53,0.470207
1559.59,0.470207
1559.65,0.470207
1559.71,0.470711
1559.77,0.471216
1559.83,0.471721
