x,y
1550.41,0.73256
1550.49,0.735529
1550.56,0.741467
1550.64,0.744436
1550.71,0.747405
1550.79,0.750375
1550.86,0.753344
1550.94,0.757797
1551.01,0.760766
1551.09,0.766705
1551.16,0.769674
1551.24,0.772643
1551.32,0.778581
1551.39,0.78155
1551.47,0.784519
1551.54,0.790458
1551.62,0.793427
1551.69,0.796396
1551.77,0.802334
1551.84,0.806788
1551.92,0.811241
1551.99,0.815695
1552.07,0.818664
1552.14,0.824602
1552.22,0.829056
1552.29,0.83351
1552.37,0.839448
1552.44,0.842417
1552.52,0.848355
1552.59,0.852809
1552.67,0.857263
1552.74,0.863201
1552.82,0.86617
1552.89,0.872108
1552.97,0.876562
1553.04,0.8825
1553.12,0.888439
1553.19,0.892892
1553.27,0.897346
1553.34,0.903284
1553.42,0.909222
1553.5,0.913676
1553.57,0.91813
1553.65,0.924068
1553.72,0.930006
1553.8,0.935944
1553.87,0.940398
1553.95,0.944852
1554.02,0.95079
1554.1,0.956728
1554.17,0.962667
1554.25,0.96712
1554.32,0.971574
1554.4,0.977512
1554.47,0.98345
1554.55,0.989389
1554.62,0.992358
1554.7,0.998296
1554.77,1.00423
1554.85,1.00869
1554.92,1.01463
1555,1.02056
1555.07,1.02353
1555.15,1.02947
1555.22,1.03244
1555.3,1.03838
1555.37,1.04135
1555.45,1.04729
1555.52,1.05174
1555.6,1.05619
1555.68,1.06213
1555.75,1.0651
1555.83,1.06955
1555.9,1.07252
1555.98,1.07698
1556.05,1.07995
1556.13,1.08292
1556.2,1.08588
1556.28,1.08885
1556.35,1.09182
1556.43,1.09479
1556.5,1.09776
1556.58,1.10073
1556.65,1.1037
1556.73,1.10667
1556.8,1.10815
1556.88,1.11112
1556.95,1.11261
1557.03,1.11409
1557.1,1.11409
1557.18,1.11558
1557.25,1.11558
1557.33,1.11706
1557.4,1.11706
1557.48,1.11855
1557.55,1.11855
1557.63,1.12003
1557.7,1.12003
1557.78,1.12151
1557.86,1.12151
1557.93,1.12003
1558.01,1.11855
1558.08,1.11855
1558.16,1.11558
1558.23,1.11558
1558.31,1.11409
1558.38,1.11261
1558.46,1.11261
1558.53,1.10964
1558.61,1.10964
1558.68,1.10667
1558.76,1.10667
1558.83,1.1037
1558.91,1.10222
1558.98,1.09925
1559.06,1.09628
1559.13,1.09628
1559.21,1.09331
1559.28,1.09034
1559.36,1.08737
1559.43,1.0844
1559.51,1.08143
1559.58,1.07846
1559.66,1.07846
1559.73,1.07549
1559.81,1.07252
1559.88,1.06955
1559.96,1.06659
1560.04,1.06362
1560.11,1.05916
1560.19,1.05619
1560.26,1.05322
1560.34,1.05026
1560.41,1.04729
1560.49,1.04432
1560.56,1.04135
1560.64,1.03838
1560.71,1.03541
1560.79,1.03244
1560.86,1.02947
1560.94,1.0265
1561.01,1.02353
1561.09,1.02056
1561.16,1.0176
1561.24,1.01314
1561.31,1.01017
1561.39,1.0072
1561.46,1.00423
1561.54,1.00127
1561.61,0.996811
1561.69,0.993842
1561.76,0.990873
1561.84,0.987904
1561.91,0.984935
1561.99,0.98345
1562.07,0.980481
1562.14,0.977512
1562.22,0.974543
1562.29,0.971574
1562.37,0.968605
1562.44,0.965636
1562.52,0.962667
1562.59,0.959697
1562.67,0.956728
1562.74,0.953759
1562.82,0.95079
1562.89,0.947821
1562.97,0.944852
1563.04,0.941883
1563.12,0.941883
1563.19,0.938914
1563.27,0.935944
1563.34,0.932975
1563.42,0.930006
1563.49,0.927037
1563.57,0.924068
1563.64,0.924068
1563.72,0.921099
1563.79,0.91813
1563.87,0.915161
1563.94,0.912191
1564.02,0.910707
1564.09,0.909222
1564.17,0.906253
1564.25,0.904769
1564.32,0.9018
1564.4,0.900315
1564.47,0.897346
1564.55,0.895861
1564.62,0.892892
1564.7,0.891408
1564.77,0.888439
1564.85,0.886954
1564.92,0.883985
1565,0.883985
1565.07,0.881016
1565.15,0.878047
1565.22,0.878047
1565.3,0.875078
1565.37,0.873593
1565.45,0.872108
1565.52,0.869139
1565.6,0.867655
1565.67,0.86617
1565.75,0.863201
1565.82,0.863201
1565.9,0.860232
1565.97,0.860232
1566.05,0.857263
1566.12,0.854294
1566.2,0.854294
1566.27,0.851325
1566.35,0.851325
1566.43,0.848355
1566.5,0.848355
1566.58,0.845386
1566.65,0.845386
1566.73,0.842417
1566.8,0.842417
1566.88,0.839448
1566.95,0.839448
1567.03,0.836479
1567.1,0.836479
1567.18,0.83351
1567.25,0.83351
1567.33,0.830541
1567.4,0.830541
1567.48,0.827572
1567.55,0.827572
1567.63,0.826087
1567.7,0.824602
1567.78,0.823118
1567.85,0.821633
1567.93,0.821633
1568,0.818664
1568.08,0.818664
1568.15,0.81718
1568.23,0.815695
1568.3,0.815695
1568.38,0.812726
1568.45,0.812726
1568.53,0.811241
1568.61,0.809757
1568.68,0.808272
1568.76,0.806788
1568.83,0.806788
1568.91,0.805303
1568.98,0.803819
1569.06,0.803819
1569.13,0.802334
1569.21,0.80085
1569.28,0.799365
1569.36,0.799365
1569.43,0.79788
1569.51,0.796396
1569.58,0.794911
1569.66,0.794911
1569.73,0.793427
1569.81,0.791942
1569.88,0.791942
1569.96,0.790458
1570.03,0.788973
1570.11,0.788973
1570.18,0.787489
1570.26,0.786004
1570.33,0.786004
1570.41,0.784519
1570.48,0.783035
1570.56,0.783035
1570.64,0.78155
1570.71,0.780066
1570.79,0.780066
1570.86,0.778581
1570.94,0.778581
1571.01,0.777097
1571.09,0.775612
1571.16,0.775612
1571.24,0.774127
1571.31,0.774127
1571.39,0.772643
1571.46,0.771158
1571.54,0.771158
1571.61,0.769674
1571.69,0.769674
1571.76,0.768189
1571.84,0.766705
1571.91,0.766705
1571.99,0.76522
1572.06,0.76522
1572.14,0.763736
1572.21,0.763736
1572.29,0.762251
1572.36,0.760766
1572.44,0.760766
1572.51,0.759282
1572.59,0.759282
1572.66,0.757797
1572.74,0.757797
1572.82,0.756313
1572.89,0.756313
1572.97,0.754828
1573.04,0.753344
1573.12,0.753344
1573.19,0.751859
1573.27,0.751859
1573.34,0.750375
1573.42,0.750375
1573.49,0.74889
1573.57,0.74889
1573.64,0.747405
1573.72,0.745921
1573.79,0.745921
1573.87,0.744436
1573.94,0.744436
1574.02,0.742952
1574.09,0.742952
1574.17,0.741467
1574.24,0.741467
1574.32,0.739983
1574.39,0.739983
1574.47,0.738498
1574.54,0.738498
1574.62,0.737014
1574.69,0.737014
1574.77,0.735529
1574.84,0.734044
1574.92,0.734044
1575,0.734044
1575.07,0.73256
1575.15,0.73256
1575.22,0.731075
1575.3,0.729591
1575.37,0.729591
1575.45,0.728106
1575.52,0.728106
1575.6,0.726622
1575.67,0.726622
1575.75,0.725137
1575.82,0.725137
1575.9,0.723652
1575.97,0.723652
1576.05,0.722168
1576.12,0.722168
1576.2,0.720683
1576.27,0.720683
1576.35,0.719199
1576.42,0.719199
1576.5,0.717714
1576.57,0.717714
1576.65,0.71623
1576.72,0.71623
1576.8,0.714745
1576.87,0.714745
1576.95,0.713261
1577.02,0.713261
1577.1,0.711776
1577.18,0.711776
1577.25,0.710291
1577.33,0.710291
1577.4,0.708807
1577.48,0.708807
1577.55,0.707322
1577.63,0.707322
1577.7,0.707322
1577.78,0.705838
1577.85,0.704353
1577.93,0.704353
1578,0.704353
1578.08,0.702869
1578.15,0.702869
1578.23,0.701384
1578.3,0.701384
1578.38,0.6999
1578.45,0.6999
1578.53,0.698415
1578.6,0.698415
1578.68,0.69693
1578.75,0.69693
1578.83,0.695446
1578.9,0.695446
1578.98,0.695446
1579.05,0.693961
1579.13,0.692477
1579.21,0.692477
1579.28,0.692477
1579.36,0.690992
1579.43,0.690992
1579.51,0.689508
1579.58,0.689508
1579.66,0.688023
1579.73,0.688023
1579.81,0.686538
1579.88,0.686538
1579.96,0.686538
1580.03,0.685054
1580.11,0.685054
1580.18,0.683569
1580.26,0.683569
1580.33,0.682085
1580.41,0.682085
1580.48,0.6806
1580.56,0.6806
1580.63,0.6806
1580.71,0.679116
1580.78,0.679116
1580.86,0.677631
1580.93,0.677631
1581.01,0.676147
1581.08,0.676147
1581.16,0.674662
1581.23,0.674662
1581.31,0.674662
1581.39,0.673177
1581.46,0.673177
1581.54,0.671693
1581.61,0.671693
1581.69,0.671693
1581.76,0.670208
1581.84,0.670208
1581.91,0.668724
1581.99,0.668724
1582.06,0.667239
1582.14,0.667239
1582.21,0.665755
1582.29,0.665755
1582.36,0.665755
1582.44,0.66427
1582.51,0.66427
1582.59,0.662786
1582.66,0.662786
1582.74,0.662786
1582.81,0.661301
1582.89,0.659816
1582.96,0.659816
1583.04,0.659816
1583.11,0.658332
1583.19,0.658332
1583.26,0.656847
1583.34,0.656847
1583.41,0.656847
1583.49,0.655363
1583.57,0.655363
1583.64,0.653878
1583.72,0.653878
1583.79,0.653878
1583.87,0.652394
1583.94,0.652394
1584.02,0.650909
1584.09,0.650909
1584.17,0.649425
1584.24,0.649425
1584.32,0.64794
1584.39,0.64794
1584.47,0.64794
1584.54,0.646455
1584.62,0.646455
1584.69,0.644971
1584.77,0.644971
1584.84,0.644971
1584.92,0.643486
1584.99,0.643486
1585.07,0.642002
1585.14,0.642002
1585.22,0.640517
1585.29,0.640517
1585.37,0.640517
1585.44,0.639033
1585.52,0.639033
1585.59,0.637548
1585.67,0.637548
1585.75,0.636063
1585.82,0.636063
1585.9,0.636063
1585.97,0.634579
1586.05,0.634579
1586.12,0.633094
1586.2,0.633094
1586.27,0.63161
1586.35,0.63161
1586.42,0.630125
1586.5,0.630125
1586.57,0.630125
1586.65,0.628641
1586.72,0.628641
1586.8,0.627156
1586.87,0.627156
1586.95,0.625672
1587.02,0.625672
1587.1,0.624187
1587.17,0.624187
1587.25,0.624187
1587.32,0.622702
1587.4,0.622702
1587.47,0.621218
1587.55,0.621218
1587.62,0.619733
1587.7,0.619733
1587.78,0.618249
1587.85,0.618249
1587.93,0.616764
1588,0.616764
1588.08,0.61528
1588.15,0.61528
1588.23,0.61528
1588.3,0.613795
1588.38,0.613795
1588.45,0.612311
1588.53,0.612311
1588.6,0.610826
1588.68,0.610826
1588.75,0.609341
1588.83,0.609341
1588.9,0.607857
1588.98,0.607857
1589.05,0.606372
1589.13,0.606372
1589.2,0.604888
1589.28,0.604888
1589.35,0.603403
1589.43,0.603403
1589.5,0.601919
1589.58,0.601919
1589.65,0.600434
1589.73,0.600434
