x,y
1535.17,0.175419
1535.24,0.175419
1535.32,0.175436
1535.4,0.175084
1535.47,0.176089
1535.55,0.176089
1535.62,0.176541
1535.7,0.176541
1535.77,0.176541
1535.85,0.176591
1535.92,0.176591
1536,0.176507
1536.08,0.17747
1536.15,0.178405
1536.23,0.179242
1536.3,0.180509
1536.38,0.181413
1536.45,0.186386
1536.53,0.187893
1536.6,0.191912
1536.68,0.193347
1536.76,0.194047
1536.83,0.1955
1536.91,0.19681
1536.98,0.198526
1537.06,0.198227
1537.13,0.197739
1537.21,0.197689
1537.28,0.197605
1537.36,0.196935
1537.44,0.196533
1537.51,0.194926
1537.59,0.193419
1537.66,0.192414
1537.74,0.19141
1537.81,0.191661
1537.89,0.191812
1537.96,0.191661
1538.04,0.191828
1538.12,0.19141
1538.19,0.191075
1538.27,0.19007
1538.34,0.189819
1538.42,0.188898
1538.49,0.186889
1538.57,0.185884
1538.64,0.183372
1538.72,0.18287
1538.8,0.182368
1538.87,0.182117
1538.95,0.181531
1539.02,0.181363
1539.1,0.181363
1539.17,0.181363
1539.25,0.181196
1539.32,0.181112
1539.4,0.181112
1539.48,0.180107
1539.55,0.179856
1539.63,0.179103
1539.7,0.179019
1539.78,0.178852
1539.85,0.178852
1539.93,0.1786
1540.16,0.178852
1540.23,0.178349
1540.31,0.178349
1540.38,0.178349
1540.46,0.177847
1540.53,0.177847
1540.61,0.177177
1540.69,0.177093
1540.76,0.177093
1540.84,0.17701
1540.91,0.17701
1540.99,0.177093
1541.06,0.177177
1541.14,0.177093
1541.21,0.177093
1541.29,0.177093
1541.37,0.177093
1541.44,0.177093
1541.52,0.176089
1541.59,0.17567
1541.67,0.17567
1541.74,0.175586
1541.82,0.175503
1541.89,0.175503
1541.97,0.175586
1542.05,0.17567
1542.12,0.17567
1542.2,0.175586
1542.27,0.175586
1542.35,0.175838
1542.42,0.175084
1542.5,0.175084
1542.57,0.175084
1542.65,0.175
1542.73,0.175
1542.8,0.175
1542.88,0.175
1542.95,0.175168
1543.03,0.175084
1543.1,0.175461
1543.18,0.175737
1543.25,0.175938
1543.33,0.176507
1543.41,0.176943
1543.48,0.179103
1543.56,0.179856
1543.63,0.181949
1543.71,0.182569
1543.78,0.18277
1543.86,0.18354
1543.93,0.183573
1544.01,0.183975
1544.09,0.183959
1544.16,0.183975
1544.24,0.184
1544.31,0.184578
1544.39,0.184578
1544.46,0.186638
1544.54,0.18714
1544.62,0.189024
1544.69,0.189275
1544.77,0.189735
1544.84,0.190656
1544.92,0.190028
1544.99,0.190489
1545.07,0.190405
1545.14,0.190279
1545.22,0.190028
1545.3,0.190028
1545.37,0.190405
1545.45,0.19007
1545.52,0.189149
1545.6,0.188145
1545.67,0.188496
1545.75,0.188396
1545.82,0.188295
1545.9,0.188295
1545.98,0.187893
1546.05,0.187956
1546.13,0.187893
1546.2,0.187692
1546.28,0.187692
1546.35,0.188563
1546.43,0.186889
1546.5,0.185382
1546.58,0.185131
1546.66,0.182996
1546.73,0.18287
1546.81,0.182535
1546.88,0.182971
1546.96,0.182954
1547.03,0.183071
1547.11,0.182786
1547.18,0.182786
1547.26,0.18277
1547.34,0.18277
1547.41,0.18354
1547.49,0.182117
1547.56,0.181866
1547.64,0.181238
1547.71,0.181238
1547.79,0.181028
1547.86,0.180986
1547.94,0.180986
1548.02,0.180861
1548.09,0.180861
1548.17,0.180861
1548.24,0.180861
1548.32,0.180861
1548.39,0.180861
1548.47,0.180861
1548.54,0.180861
1548.62,0.180861
1548.7,0.18061
1548.77,0.18061
1548.85,0.18061
1548.92,0.18061
1549,0.18061
1549.07,0.180646
1549.15,0.180442
1549.23,0.180735
1549.3,0.18061
1549.38,0.180484
1549.45,0.179731
1549.53,0.178098
1549.6,0.176466
1549.68,0.175737
1549.75,0.174833
1549.83,0.175335
1549.91,0.17521
1549.98,0.175335
1550.06,0.175335
1550.13,0.175252
1550.21,0.175461
1550.28,0.175335
1550.36,0.17521
1550.43,0.174456
1550.51,0.173075
1550.59,0.172573
1550.66,0.171066
1550.74,0.171216
1550.81,0.170814
1550.89,0.170647
1550.96,0.17048
1551.04,0.170563
1551.11,0.170563
1551.19,0.170563
1551.27,0.170312
1551.34,0.170312
1551.42,0.170011
1551.49,0.168805
1551.57,0.168554
1551.64,0.167298
1551.72,0.167298
1551.79,0.167047
1551.87,0.167298
1551.95,0.167198
1552.02,0.167466
1552.1,0.166997
1552.17,0.166997
1552.25,0.167466
1552.32,0.168052
1552.4,0.166796
1552.47,0.16554
1552.55,0.165038
1552.63,0.16328
1552.7,0.163614
1552.78,0.163447
1552.85,0.163656
1552.93,0.163581
1553,0.16328
1553.08,0.16328
1553.15,0.163531
1553.23,0.16338
