x,y
1535,0.178876
1535.07,0.178521
1535.15,0.179535
1535.22,0.179535
1535.3,0.179991
1535.37,0.179991
1535.45,0.179991
1535.52,0.180042
1535.6,0.180042
1535.68,0.179957
1535.75,0.180929
1535.83,0.181872
1535.9,0.182717
1535.98,0.183996
1536.05,0.184908
1536.13,0.189927
1536.2,0.191448
1536.28,0.195504
1536.36,0.196952
1536.43,0.198039
1536.51,0.199125
1536.58,0.200447
1536.66,0.202179
1536.73,0.201877
1536.81,0.201385
1536.88,0.201334
1536.96,0.201249
1537.03,0.200573
1537.11,0.200168
1537.19,0.198546
1537.26,0.197025
1537.34,0.196011
1537.41,0.194997
1537.49,0.19525
1537.56,0.195402
1537.64,0.19525
1537.71,0.195419
1537.79,0.194997
1537.87,0.194659
1537.94,0.193645
1538.02,0.193392
1538.09,0.192462
1538.17,0.190434
1538.24,0.18942
1538.32,0.186886
1538.39,0.186379
1538.47,0.185872
1538.55,0.185618
1538.62,0.185027
1538.7,0.184858
1538.77,0.184858
1538.85,0.184858
1538.92,0.184689
1539,0.184604
1539.07,0.184604
1539.15,0.18359
1539.22,0.183337
1539.3,0.182576
1539.38,0.182492
1539.45,0.182323
1539.53,0.182323
1539.6,0.18207
1539.83,0.182323
1539.9,0.181816
1539.98,0.181816
1540.06,0.181816
1540.13,0.181309
1540.21,0.181309
1540.28,0.180633
1540.36,0.180549
1540.43,0.180549
1540.51,0.180464
1540.58,0.180464
1540.66,0.180549
1540.73,0.180633
1540.81,0.180549
1540.89,0.180549
1540.96,0.180549
1541.04,0.180549
1541.11,0.180549
1541.19,0.179535
1541.26,0.179112
1541.34,0.179112
1541.41,0.179028
1541.49,0.178943
1541.57,0.178943
1541.64,0.179028
1541.72,0.179112
1541.79,0.179112
1541.87,0.179028
1541.94,0.179028
1542.02,0.179281
1542.09,0.178521
1542.17,0.178521
1542.25,0.178521
1542.32,0.178436
1542.4,0.178436
1542.47,0.178436
1542.55,0.178436
1542.62,0.178605
1542.7,0.178521
1542.77,0.178901
1542.85,0.17918
1542.92,0.179383
1543,0.179957
1543.08,0.180397
1543.15,0.182576
1543.23,0.183337
1543.3,0.185449
1543.38,0.186074
1543.45,0.186277
1543.53,0.187055
1543.6,0.187088
1543.68,0.187494
1543.76,0.187477
1543.83,0.187494
1543.91,0.187519
1543.98,0.188102
1544.06,0.188102
1544.13,0.190181
1544.21,0.190688
1544.28,0.192589
1544.36,0.192842
1544.44,0.193307
1544.51,0.194236
1544.59,0.193603
1544.66,0.194067
1544.74,0.193983
1544.81,0.193856
1544.89,0.193603
1544.96,0.193603
1545.04,0.193983
1545.11,0.193645
1545.19,0.192716
1545.27,0.191702
1545.34,0.192057
1545.42,0.191955
1545.49,0.191854
1545.57,0.191854
1545.64,0.191448
1545.72,0.191512
1545.79,0.191448
1545.87,0.191245
1545.95,0.191245
1546.02,0.192124
1546.1,0.190434
1546.17,0.188913
1546.25,0.18866
1546.32,0.186505
1546.4,0.186379
1546.47,0.186041
1546.55,0.18648
1546.63,0.186463
1546.7,0.186581
1546.78,0.186294
1546.85,0.186294
1546.93,0.186277
1547,0.186277
1547.08,0.187055
1547.15,0.185618
1547.23,0.185365
1547.3,0.184731
1547.38,0.184731
1547.46,0.18452
1547.53,0.184478
1547.61,0.184478
1547.68,0.184351
1547.76,0.184435
1547.83,0.184351
1547.91,0.184351
1547.98,0.184351
1548.06,0.184351
1548.14,0.184351
1548.21,0.184351
1548.29,0.184351
1548.36,0.184148
1548.44,0.184097
1548.51,0.184097
1548.59,0.184097
1548.66,0.184097
1548.74,0.184134
1548.82,0.183928
1548.89,0.184224
1548.97,0.184097
1549.04,0.183971
1549.12,0.18321
1549.19,0.181563
1549.27,0.179915
1549.34,0.17918
1549.42,0.178267
1549.49,0.178774
1549.57,0.178648
1549.65,0.178774
1549.72,0.178774
1549.8,0.17869
1549.87,0.178901
1549.95,0.178774
1550.02,0.178648
1550.1,0.177887
1550.17,0.176493
1550.25,0.175986
1550.33,0.174465
1550.4,0.174617
1550.48,0.174212
1550.55,0.174043
1550.63,0.173874
1550.7,0.173958
1550.78,0.173958
1550.85,0.173958
1550.93,0.173705
1551.01,0.173705
1551.08,0.173401
1551.16,0.172184
1551.23,0.17193
1551.31,0.170663
1551.38,0.170663
1551.46,0.17041
1551.53,0.170663
1551.61,0.170562
1551.68,0.170832
1551.76,0.170359
1551.84,0.170359
1551.91,0.170832
1551.99,0.171423
1552.06,0.170156
1552.14,0.168635
1552.21,0.168382
1552.29,0.166607
1552.36,0.166945
1552.44,0.166776
1552.52,0.166988
1552.59,0.166912
1552.67,0.166607
1552.74,0.166607
1552.82,0.166861
1552.89,0.166709
1552.97,0.166709
1553.04,0.166709
1553.12,0.166481
1553.2,0.166354
1553.27,0.165086
1553.35,0.165847
1553.42,0.165898
1553.5,0.165847
1553.57,0.165847
1553.65,0.165847
1553.72,0.165811
1553.8,0.165898
1553.87,0.166016
1553.95,0.165999
1554.03,0.16572
1554.1,0.166269
1554.18,0.167368
1554.25,0.167875
1554.33,0.168939
1554.4,0.168889
1554.48,0.168889
1554.55,0.169058
1554.63,0.169058
1554.71,0.169215
1554.78,0.168889
1554.86,0.169015
1554.93,0.167839
1555.01,0.167404
1555.08,0.166354
1555.16,0.163059
1555.23,0.162045
1555.31,0.158858
1555.39,0.157736
1555.46,0.15712
1555.54,0.156384
1555.61,0.156034
1555.69,0.155309
1555.76,0.155539
1555.84,0.155556
1555.91,0.15537
1555.99,0.155454
1556.06,0.155708
1556.14,0.15368
1556.22,0.153173
1556.29,0.15292
1556.37,0.151145
1556.44,0.151018
1556.52,0.151297
1556.59,0.151314
1556.67,0.151109
1556.74,0.151145
1556.82,0.151145
1556.9,0.151145
1556.97,0.151145
1557.05,0.151145
1557.12,0.151145
1557.2,0.151145
1557.27,0.151906
1557.35,0.15079
1557.42,0.15079
1557.5,0.15079
1557.57,0.15079
1557.65,0.151145
1557.73,0.151117
1557.8,0.150993
1557.88,0.150892
1557.95,0.151196
1558.03,0.151399
1558.1,0.152032
1558.18,0.153173
1558.25,0.153426
1558.33,0.15444
1558.41,0.154694
1558.48,0.154694
1558.56,0.154947
1558.63,0.154947
1558.71,0.155229
1558.78,0.154745
1558.86,0.15444
1558.93,0.15444
1559.01,0.15368
1559.09,0.153224
1559.16,0.151145
1559.24,0.150385
1559.31,0.147951
1559.39,0.14709
1559.46,0.146202
1559.54,0.145949
1559.61,0.146401
1559.69,0.146184
1559.76,0.146076
1559.84,0.145907
1559.92,0.145923
1559.99,0.145738
1560.07,0.145822
1560.14,0.144555
1560.22,0.144301
1560.29,0.144048
1560.37,0.14278
1560.44,0.14278
1560.52,0.142983
1560.6,0.142983
1560.67,0.142491
1560.75,0.142527
1560.82,0.14278
1560.9,0.14278
1560.97,0.142578
1561.05,0.142578
1561.12,0.142147
1561.2,0.141766
1561.28,0.140753
1561.35,0.141564
1561.43,0.141564
1561.5,0.141564
1561.58,0.141513
1561.65,0.141259
1561.73,0.141259
1561.8,0.141513
1561.88,0.141564
1561.95,0.141564
1562.03,0.141564
1562.11,0.141386
1562.18,0.141766
1562.26,0.141766
1562.33,0.142578
1562.41,0.142578
1562.48,0.142578
1562.56,0.14278
1562.63,0.14278
1562.71,0.142865
1562.79,0.14278
1562.86,0.14278
1562.94,0.142907
1563.01,0.142907
1563.09,0.142983
1563.16,0.143034
1563.24,0.143034
1563.31,0.143625
1563.39,0.144048
1563.47,0.144048
1563.54,0.143997
1563.62,0.143997
1563.69,0.143794
1563.77,0.143794
1563.84,0.143794
1563.92,0.143794
1563.99,0.143591
1564.07,0.143794
1564.14,0.14202
1564.22,0.141513
1564.3,0.141006
1564.37,0.140246
1564.45,0.140246
1564.52,0.140043
1564.6,0.140043
1564.67,0.139485
1564.75,0.139513
1564.82,0.139865
1564.9,0.139865
1564.98,0.139637
1565.05,0.139637
1565.13,0.139637
1565.2,0.138978
1565.28,0.138978
1565.35,0.138556
1565.43,0.138556
1565.5,0.138556
1565.58,0.138471
1565.66,0.138116
1565.73,0.138154
1565.81,0.138471
1565.88,0.138556
1565.96,0.138556
1566.03,0.138556
1566.11,0.138556
1566.18,0.138978
1566.26,0.138978
1566.33,0.139536
1566.41,0.139147
1566.49,0.139232
1566.56,0.139232
1566.64,0.139232
1566.71,0.139449
1566.79,0.139147
1566.86,0.139147
1566.94,0.138978
1567.01,0.138978
1567.09,0.140077
1567.17,0.137711
1567.24,0.137457
1567.32,0.135683
1567.39,0.135683
1567.47,0.135683
1567.54,0.135784
1567.62,0.135767
1567.69,0.135683
1567.77,0.135683
1567.85,0.135379
1567.92,0.135379
1568,0.135379
1568.07,0.135303
1568.15,0.135683
1568.22,0.134923
1568.3,0.134923
1568.37,0.134872
1568.45,0.134796
1568.52,0.134669
1568.6,0.134669
1568.68,0.134416
1568.75,0.134452
1568.83,0.134669
1568.9,0.134466
1568.98,0.134466
1569.05,0.134466
1569.13,0.133993
1569.2,0.133655
1569.28,0.133402
1569.36,0.133452
1569.43,0.133452
1569.51,0.133452
1569.58,0.133402
1569.66,0.133064
1569.73,0.133275
1569.81,0.133047
1569.88,0.133021
1569.96,0.13205
1570.04,0.131796
1570.11,0.13112
1570.19,0.128586
1570.26,0.128079
1570.34,0.125544
1570.41,0.12529
1570.49,0.124733
1570.56,0.124192
1570.64,0.123854
1570.71,0.123719
1570.79,0.123769
1570.87,0.123896
1570.94,0.123719
1571.02,0.123719
1571.09,0.123719
1571.17,0.123009
1571.24,0.123009
1571.32,0.122502
1571.39,0.122908
1571.47,0.122908
1571.55,0.122882
1571.62,0.122882
1571.7,0.122502
1571.77,0.122502
1571.85,0.122908
1571.92,0.123009
1572,0.12311
1572.07,0.12311
1572.15,0.122671
1572.23,0.123769
1572.3,0.124023
1572.38,0.124952
1572.45,0.125138
1572.53,0.125121
1572.6,0.12524
1572.68,0.12529
1572.75,0.125834
1572.83,0.123896
1572.9,0.122553
1572.98,0.121336
1573.06,0.120119
1573.13,0.118446
1573.21,0.11287
1573.28,0.110842
1573.36,0.10673
1573.43,0.105139
1573.51,0.103576
1573.58,0.101886
1573.66,0.10083
1573.74,0.099689
1573.81,0.0984216
1573.89,0.0976612
1573.96,0.0972556
1574.04,0.0959955
1574.11,0.0953799
1574.19,0.0918312
1574.26,0.0908173
1574.34,0.0869427
1574.41,0.0860736
1574.49,0.0854942
1574.57,0.0849149
1574.64,0.0836692
1574.72,0.0833397
1574.79,0.0844079
1574.87,0.0855506
1574.94,0.0865082
